Entity,Code,Year,Men Overweight or Obese (%),Men (BMI),Women overweight or obese (%),Women (BMI),Daily caloric supply (per person) (kcal/person/day),Total population (Gapminder),HIV/AIDS and tuberculosis (DALYs),Diarrhea & common infectious diseases (DALYs),Malaria & neglected tropical diseases (DALYs),Maternal disorders (DALYs),Neonatal disorders (DALYs),Nutritional deficiencies (DALYs),Other communicable diseases (DALYs),Cancers (DALYs),Cardiovascular diseases (DALYs),Respiratory diseases (DALYs),Liver diseases (DALYs),Digestive diseases (DALYs),Neurological disorders (DALYs),Mental and substance use disorders (DALYs),"Diabetes, blood, & endocrine diseases (DALYs)",Musculoskeletal disorders (DALYs),Other NCDs (DALYs),Transport injuries (DALYs),Natural disasters (DALYs),Conflict and terrorism (DALYs),Self-harm (DALYs),Interpersonal violence (DALYs),Unintentional injuries (DALYs),% Adults > 25BMI
Dominican Republic,DOM,2013,48.3,25.33809867,58.4,27.05303634,2614.0,10308609.0,237057.93498899997,169135.015998,13275.4715456,8855.2501692,309770.866985,38254.72139680001,10306.7974404,163987.795934,354633.034287,59669.7241602,31978.2666363,30751.360891400003,121912.8052,201976.11135,147262.108569,154138.914906,289004.857967,107612.413149,153.535055965,25.0299702886,22370.7769456,79669.378158,111092.70483199999,56.8
Ecuador,ECU,2010,49.1,25.85085326,55.8,27.07964071,2348.0,14464739.0,67178.4524402,275508.462308,26709.933362599997,16675.6404006,293011.997657,35061.079973,18559.0817708,284644.710413,323798.743065,68358.4842652,66059.7946925,74532.3127341,185622.087918,308998.15853,263642.768653,230575.798037,435097.947747,216540.730279,2855.59852612,25.1127203416,65666.5732265,136985.964665,206256.847099,50.7
Ecuador,ECU,2011,49.9,25.98203283,56.4,27.20128482,2376.0,14666055.0,63108.6526686,263542.084752,28113.2114272,16937.2689904,283810.065709,33399.2521709,17682.9542626,289082.157646,324871.89162199997,69233.3168034,66760.0150976,74447.62990680001,188387.38302100002,315322.085503,270129.50719699997,236730.57041599997,439559.868617,218118.262566,3306.31653186,28.362004679800002,65745.5778227,132668.219322,211177.715364,51.4
Ecuador,ECU,2012,50.8,26.11423518,57.0,27.32400514,2347.0,14864987.0,64250.9385112,253898.214177,28076.015459,16278.763851,274708.422784,31999.730914099997,16800.3278416,293749.49629,327289.782305,70599.1864892,67507.14812,74378.261096,191877.885546,319971.22840900003,276067.57039899996,243000.39535700003,445821.736683,218558.300991,2598.9574995000003,29.0169370542,65601.6451933,126969.856548,211958.14771199998,52.1
Ecuador,ECU,2013,51.6,26.2457691,57.5,27.44604421,2344.0,15061398.0,67084.5392516,246186.14150599999,28332.286464999997,15230.6453428,267087.987981,31579.9455302,16117.544624899998,298368.96400700003,330257.022711,71895.6748801,68033.2091107,75113.41584850001,195349.370219,325671.51616,282259.27964699996,249943.670433,453581.363079,219120.751035,3250.39841678,24.510470022800003,64693.46691819999,121911.543509,211826.06951099998,52.8
Egypt,EGY,2010,52.5,27.09389394,67.6,30.17579974,3507.0,81121077.0,51818.5869439,3207366.9775,207486.057764,87386.8577505,1569784.79542,390151.409229,137664.10812000002,1416870.41235,4758050.6980099995,843247.530566,1220114.69835,380323.39472800004,1134480.3323600001,1671900.34535,1794754.94545,1556713.3907299999,2732407.19832,1406557.18535,218.431759966,12456.8146684,138077.886138,52736.3038344,801442.938533,57.0
Egypt,EGY,2011,53.3,27.14156482,68.3,30.29820051,3549.0,82536770.0,51081.3552136,3096318.68359,151914.868943,78750.1674062,1521277.05384,389280.48823899997,134915.729473,1433387.96032,4771478.04397,850747.587501,1228869.17584,382176.67448600003,1155150.14351,1712197.7890899999,1823386.19345,1596559.10171,2737958.2658700002,1430454.96966,246.559749767,8049.41154934,141782.442667,53855.84357890001,835378.184272,57.8
Egypt,EGY,2012,54.0,27.18487912,69.0,30.41583087,3561.0,83958369.0,50669.959415599995,2969413.70297,130565.195963,78760.59015880001,1457076.8180799999,388449.52826500003,132818.493055,1462956.24838,4884047.75567,865223.371281,1258463.85204,387528.494258,1177414.17915,1745751.1257900002,1869075.9921900001,1636132.96132,2729677.80157,1437748.68771,254.478905183,8259.32291536,144677.48781199998,54301.8815801,842718.726733,58.6
Egypt,EGY,2013,54.8,27.22550389,69.6,30.53168774,3522.0,85378440.0,48717.6264725,2827307.23911,116277.898072,72930.42471889999,1388749.34361,385907.386511,129853.10905099999,1464741.0151,4810778.07538,862446.3621649999,1248710.05912,385065.175123,1196444.1136100001,1777994.6144599998,1882552.95995,1672462.66074,2714722.88259,1411597.95244,199.996671902,15032.433860299998,143951.63771500002,54212.020961099995,841247.872376,59.4
El Salvador,SLV,2010,49.4,26.22635921,57.8,27.58195348,2515.0,6192993.0,13169.5095441,103186.08207,8113.90573151,3413.5917986,63462.06987769999,15853.422442200002,3941.7213555,117060.829334,158862.305084,36907.8941444,38654.9411625,23363.4768812,83560.2705961,145545.712777,170082.747045,84360.545447,175699.269557,80042.4641258,984.9951562069999,4444.41381434,30766.9937366,205875.05496500002,60320.53594830001,52.8
El Salvador,SLV,2011,50.1,26.297126300000002,58.3,27.69085538,2537.0,6227491.0,11868.921196,99273.75221830001,7496.91424269,3209.72694261,60938.72500669999,15247.127260799998,3946.276953,117872.973309,159358.987658,37022.0377843,39155.9304549,23259.266648400004,84508.2150494,146029.132486,173115.728618,85542.8424436,173572.073094,78486.05017829999,2362.04573486,4277.05734841,31172.038599699998,202774.134323,60579.0051411,53.4
El Salvador,SLV,2012,50.8,26.3666623,58.8,27.79586838,2559.0,6264129.0,11575.4733477,95782.2887365,6964.76799043,3032.38315966,58211.645026,14784.9448681,3921.47080113,119151.717601,161605.649316,37398.7355364,39661.429090599995,23233.1522372,85889.3618391,146923.050469,177303.437348,86807.6277234,171771.010568,75201.01567610001,1154.70388411,4267.96381282,30549.3737818,192617.523721,58962.9521241,54.1
El Salvador,SLV,2013,51.5,26.43453482,59.3,27.89991809,2577.0,6302723.0,11503.6058569,92800.8681692,6552.77124677,2806.36095662,55343.5995056,14344.5219468,3887.46519678,121076.652053,165493.307288,37938.8794436,40401.165846699994,23225.8409731,87085.3454231,147773.863231,182130.884066,88029.8706887,170040.434224,71548.02891180001,821.9832371739999,3672.5472364,29065.6118306,180105.52642,57998.8189772,54.7
Estonia,EST,2010,58.0,26.53532278,49.2,25.68962022,3310.0,1341140.0,3442.29741592,9008.99177524,22.041856551,153.166657888,4310.89187864,1374.59715015,651.168598862,66186.0586934,125283.21654000001,7993.17257143,8711.81666377,7692.81568941,25997.4765905,47235.8484693,22019.5247752,35725.335159099996,33769.2177631,8707.78882706,0.379093430384,2.13165347409,10476.4699502,4523.73229014,34324.2149872,57.6
Estonia,EST,2011,58.7,26.594775300000002,49.2,25.71389252,3289.0,1340537.0,3864.02135793,8613.28082538,21.9802920017,144.89190331,3585.37287605,1347.93406,626.213341627,66812.9818046,123640.20699600001,8009.242029999999,8714.94214526,7512.79952141,26140.000385900003,47366.5908245,21968.8587057,35643.1185708,33149.5789793,8641.23519755,0.406790698549,2.28417946716,10248.6871779,4376.04961468,34630.0335634,58.0
Estonia,EST,2012,59.4,26.65422267,49.3,25.73456662,3232.0,1339762.0,3331.58225402,8791.39522455,22.363287333200002,144.503307264,3951.28228652,1337.14713849,634.283004895,67345.77166130001,123389.60515799999,8077.09678109,8692.45614034,7482.33732263,26440.158151900003,47469.9050265,22110.300593,35635.0320939,33654.8884978,8457.00730639,0.40274027332400003,2.2570511899200003,10332.555057700001,4289.22734171,34246.62538129999,58.5
Estonia,EST,2013,60.1,26.709859499999997,49.2,25.75265684,3253.0,1338832.0,3186.93397416,8245.01908951,21.6455017869,135.794099401,3437.0297965000004,1318.18287647,617.267614356,64955.1519125,117464.28159700001,7858.797032100001,8048.26356496,7260.32928126,26396.9364367,45754.2005225,21801.4768229,35639.284068199995,33232.40060940001,7412.16234521,0.37438217806,2.23823135255,9192.43609574,3824.10769232,32639.3956247,59.0
Ethiopia,ETH,2010,9.3,19.94318186,21.4,20.67175439,2080.0,82949541.0,4663938.42176,12204765.2293,739420.524526,811381.383843,6086465.98158,2344432.09503,978902.729206,1687680.1873299999,2641425.83582,614979.824824,513240.707721,675471.600281,788044.3234850001,1565392.8068,1234086.3002799999,805021.903572,2048073.55228,709492.8195430001,165.725750931,61947.1837403,237304.314242,521823.28190500004,1600000.6276399998,15.6
Ethiopia,ETH,2011,9.6,19.97854287,22.1,20.74777232,2103.0,84734262.0,4231722.675480001,11386064.5008,694264.061045,779185.901797,5890329.71727,2232514.87243,975591.9164260001,1740096.18725,2677296.1907200003,622859.338366,522511.608277,675930.605565,808740.208052,1618743.60585,1245988.35856,832027.064117,2078587.1391200002,716594.708412,189.14194832200002,64348.8730883,244307.793455,534426.094975,1611313.42714,16.0
Ethiopia,ETH,2012,9.8,20.0152924,22.8,20.82317499,2124.0,86538534.0,3901629.66075,10645774.2365,679105.06646,747529.658998,5679304.41517,2099300.82773,969190.502133,1790101.31092,2714322.8892,630919.623628,531634.407122,676944.4154909999,831986.2057630001,1670467.1203100001,1257757.12837,861077.166,2111299.98665,719157.18495,195.238547532,89676.95721060001,250157.949783,543956.9628880001,1593931.5334700001,16.4
Ethiopia,ETH,2013,10.1,20.05427644,23.5,20.89823629,2131.0,88356373.0,3633671.7535599996,9938489.41354,667440.841596,723572.082925,5461987.2753800005,1962661.4819099999,963340.542207,1837647.35056,2741050.8678200003,638560.552182,541256.0585159999,679534.864195,854746.176188,1725901.95143,1271462.8349,891307.2269059999,2147984.02014,724977.798786,154.938792453,53069.021522300005,256735.624167,552979.608167,1582818.92601,16.8
Fiji,FJI,2010,57.5,25.98760085,66.0,28.33206378,2914.0,860623.0,2204.06784107,23891.961204900002,3551.05722336,865.690720412,15330.5346069,4593.78594934,2986.35228141,20517.7197758,68080.4555366,14411.427690299999,2448.23334619,3559.199529,8895.11560855,14503.972334799999,70212.5834041,13911.9736116,22093.231656599997,6548.02611661,35.0137350735,0.0,5019.34754208,2747.12824918,13915.7805044,58.7
Fiji,FJI,2011,57.8,26.03828219,66.3,28.38964983,2923.0,868406.0,2183.65130426,23792.320293700002,3054.6186666,773.828635592,14904.662299200001,4571.16088293,3047.83011622,20986.514022299998,67793.8411241,14301.5536651,2466.17284852,3538.9482420000004,9036.65243455,14621.5134794,71648.4251577,14101.5696758,22388.3628767,6386.19054469,35.2163257239,0.0,4951.99592964,2725.73813567,13694.659412,59.5
Fiji,FJI,2012,58.2,26.09057215,66.7,28.449637100000004,2931.0,875822.0,2106.71410092,23592.0560164,2751.14665005,763.026118782,14546.329328400001,4552.31321627,3083.31073814,21604.7075498,69235.635846,14424.346886500001,2533.96544504,3609.97680419,9156.94168097,14732.5262284,73898.8276157,14314.870045500002,22649.9759582,6488.40479463,573.085439076,0.0,5071.70995548,2784.20199288,13938.329586500002,60.2
Fiji,FJI,2013,58.6,26.14441505,67.1,28.51086124,2943.0,882863.0,1937.67655378,23202.6759068,2567.16295045,759.920690743,14196.2434199,4538.58672301,3055.36481386,22223.9195737,70697.8207209,14839.7284477,2587.57183471,3670.40875275,9299.2639814,14851.572788999998,75865.5789143,14513.303858500001,22760.4956628,6697.87080626,30.6120047935,0.0,5167.77842522,2830.39121778,14115.497473,61.1
Finland,FIN,2010,60.5,26.42144646,47.7,25.45844173,3280.0,5364546.0,1626.95363661,22020.2736822,51.355297872799994,338.966056326,13429.664529799998,3478.66068071,1693.53046252,222771.116267,311459.34421300003,48872.743465,36346.8904893,23620.780594699998,131900.528586,174756.933808,67569.8592824,151183.606123,135698.11910399998,29595.832641400004,39.2670574131,0.0,44110.7661884,7113.04416909,89959.67885239999,60.2
Finland,FIN,2011,61.0,26.42574781,48.0,25.45435262,3305.0,5384770.0,1494.09654287,21475.917125,47.9602330754,269.931103543,13442.401854799999,3448.1903791999994,1619.63288565,222550.73699299997,308228.695251,49133.3609775,35560.1260874,23269.165499900002,133690.36289400002,173563.008052,67400.09900680001,153814.553996,136765.15519700001,28340.082421799998,37.0557732812,0.0,42087.5412167,6833.01560307,88241.7344921,60.6
Finland,FIN,2012,61.3,26.42494158,48.2,25.4458767,3323.0,5402627.0,1489.78484734,21159.5056811,43.822364755,297.041342643,13073.5452759,3427.79319963,1546.73004377,222859.83649699998,305579.402253,49278.367232,34994.9842727,22833.187750099998,135808.825605,172543.50928,67542.69818230001,156603.363522,137771.536483,27177.697175300003,36.790151467600005,0.0,40597.9258426,6549.50687629,86857.0726398,61.0
Finland,FIN,2013,61.7,26.4201582,48.4,25.43409512,3368.0,5418763.0,1269.49357081,20840.0141915,63.417404419899995,271.466304893,12361.693038500001,3413.88573487,1518.42378795,221405.161636,299688.712185,48994.005436,34047.4968517,22495.9323366,137139.19005499998,171188.892113,67272.97211209999,159255.513728,138207.27254,25682.378149,35.9487239554,0.0,38931.6146948,6249.82708628,85587.7717788,61.4
France,FRA,2010,65.5,25.88256284,49.8,24.41210586,3536.0,62787427.0,41566.5342874,349380.462204,584.235848874,7034.84058074,187480.58506500002,60681.156783000006,24525.4089306,3159360.98451,2207878.8334,413299.522359,275818.225558,214310.103378,1382381.68484,1746101.05191,792508.225725,1715096.46483,1576488.53855,371047.047179,2975.96849917,0.0,454212.976375,48227.410733,866450.469227,60.1
France,FRA,2011,65.9,25.92813437,50.3,24.40615063,3514.0,63125894.0,36794.6042977,351003.07123400003,528.070940603,6592.27141905,182286.75165299998,60398.400222000004,24258.0788908,3157768.96968,2196468.58015,414135.867837,271937.878479,213274.160955,1400691.37665,1749288.97553,792242.109909,1720580.9924299999,1583142.1985799999,360291.389937,89.43246246209999,0.0,446482.45243,47620.74292219999,866954.189898,60.6
France,FRA,2012,66.2,25.97130764,50.7,24.39737384,3460.0,63457777.0,36345.143611800006,354742.009518,539.176268254,6534.05156721,184236.01587899998,60788.084266,23960.404591,3167949.76492,2205933.01302,417363.18315,268780.909519,214454.501108,1422382.83572,1750130.69673,799311.1030939999,1728241.1767900002,1596977.9317299998,348320.45266799995,89.63286710889999,0.0,435762.7558,47202.7495264,868740.114668,61.1
France,FRA,2013,66.6,26.01315352,51.1,24.38740274,3482.0,63782963.0,36856.045055300005,354537.73517,569.8144499919999,6439.88461521,185731.845955,60967.1741676,23641.9485688,3165528.52877,2202209.5372099997,418204.53950199997,264577.413266,214883.177473,1437427.99085,1750815.5482700001,802670.753585,1733416.12237,1610213.18786,332691.75096,92.9919573624,158.626976215,428023.930635,47128.0790578,874305.3489959999,61.6
French Polynesia,PYF,2010,81.4,29.59948826,81.6,29.59639124,2931.0,270764.0,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,2011,81.7,29.57572425,81.8,29.58835905,2922.0,273777.0,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,2012,82.0,29.55492225,82.0,29.58114506,2942.0,276731.0,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,2013,82.3,29.53546429,82.2,29.57477245,2927.0,279632.0,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,2010,30.8,23.86227482,43.7,25.7573762,2732.0,1505463.0,122308.38552699999,98826.0964819,61453.86780009999,7657.0186124,78990.4486337,33723.5907177,9674.81194996,34113.451727,54243.4806429,12783.696627299998,14593.747838999998,11739.1134183,17966.2507443,29755.7871181,29084.467534599997,19724.6355085,51025.315767800006,23215.130323299996,0.0,0.0,4399.30537735,5044.57203757,30362.316715400004,33.5
Gabon,GAB,2011,31.5,23.92234595,44.1,25.86282065,2772.0,1534262.0,118227.65093599999,94801.559697,66859.0491637,7520.92116177,78459.96156860002,32831.6130478,9198.63593926,34637.768958099994,54315.0575395,12851.967912200002,14827.4941278,11667.679075799999,18254.697723700003,30413.606064,29300.3794449,20164.993626,51016.885104400004,23143.843977599998,0.0,0.0,4495.82679988,5141.12198229,30127.1450413,34.1
Gabon,GAB,2012,32.3,23.98516487,44.6,25.97072505,2795.0,1563873.0,111908.52609200001,91065.3625897,71581.7101237,7319.05764425,77520.9105658,31826.170521499997,8733.47075183,34808.0231014,53642.4407498,12846.89305,14927.318154799998,11501.1550295,18549.9493842,31171.4489398,29340.091014700003,20626.6716586,50955.9781453,22804.0076132,0.0,0.0,4564.47974364,5211.60678428,29359.551953600003,34.6
Gabon,GAB,2013,33.1,24.05040855,45.0,26.07938203,2830.0,1594205.0,102436.587084,85753.8787077,77087.6954384,6896.18525087,76844.7418078,31463.97867,8432.64652317,34934.840671499995,52898.4262703,12890.270317100001,15035.2051123,11386.874377799999,18843.2978185,31845.490631700002,29419.3953384,21108.0999323,51429.6661264,24264.991416,0.0,0.0,4623.50383382,5285.24833149,29058.241951300002,35.2
Gambia,GMB,2010,19.8,22.64852582,33.0,23.94857996,2674.0,1728394.0,68726.63623080001,176417.775121,39761.1784376,14828.9251678,132645.034744,48436.8854134,10518.5218912,27064.2643288,36879.8615106,9498.82587387,7049.86330732,7958.27451162,15287.334592899999,27801.9276468,25321.561073099998,16667.4873537,60194.5146472,9868.289107999999,4.696373315480001,120.31148137,2359.61355901,1770.43824975,28028.952992299997,24.1
Gambia,GMB,2011,20.3,22.77226309,33.7,24.05346414,2692.0,1776103.0,65814.8555261,174257.559332,42012.051552699995,14249.264657299998,132287.22436700002,47895.5675749,10387.561284200001,27831.420222400004,37410.558291,9703.76796409,7212.03722323,7984.16551904,15677.7208053,28755.610111299997,25544.301523,17176.6677651,60634.669006699994,9981.05927185,4.9552635157300005,130.478206857,2441.37905077,1801.81097352,27940.6423899,24.8
Gambia,GMB,2012,20.8,22.89385041,34.4,24.155649,2652.0,1824777.0,63265.583611,167297.139427,44132.0682797,13874.6952415,131874.02311900002,48935.4353797,10508.7828823,29017.5459203,38568.1092621,10020.638631,7502.51251998,8222.24039741,16217.4340768,29810.682525700002,26335.557500799998,17755.7966533,62060.68121830001,10295.3501506,5.1056774457800005,134.491477394,2545.37559103,1847.61505184,28938.493170499998,25.4
Gambia,GMB,2013,21.3,23.01555875,35.1,24.25789369,2628.0,1874360.0,63186.0612765,165341.80358399998,42733.698540900004,14009.343561599999,132040.242839,49617.4601692,10965.5011927,30083.4842616,39611.1862991,10308.370954799999,7755.01887371,8420.96881408,16737.7780007,30853.6324325,27006.9778524,18328.2497444,63521.607178,10547.9263625,4.00236645549,101.64038983100001,2665.55272927,1891.84953355,29610.7765652,26.0
Georgia,GEO,2010,49.8,26.58382322,51.2,26.76515073,2845.0,4352244.0,10091.4469642,35337.8614659,2133.33186496,1809.65456148,88615.16777089999,17955.0397248,4793.02738829,165580.465518,526142.785687,50953.2957173,37905.52464119999,15125.6530484,67170.68900900001,80870.30349489998,75653.23989689999,89829.426209,119582.36249200001,38438.017801199996,3.7454065485300005,1226.35772144,11955.4540761,9642.46920343,76863.68319610001,52.0
Georgia,GEO,2011,50.5,26.69533784,51.8,26.86727066,2805.0,4329026.0,10384.1053765,33647.029495999996,2025.41319809,1549.70862899,84544.8019613,17722.2740665,4778.03156168,168163.09246800002,516957.404491,48404.55524719999,38012.076829900005,15565.604317500001,67153.24281360001,79942.1553148,77214.2618166,88889.8458344,118833.96372,38202.411772900006,3.67646991898,1250.40534544,11847.988772,9322.737207600001,77453.4914985,52.8
Georgia,GEO,2012,51.2,26.80928255,52.3,26.96798124,2839.0,4304363.0,12101.8631244,31876.3826296,1863.50705562,1490.10106619,79366.2576863,17565.243761200003,4965.58539236,172388.431079,497968.41853,45223.4508373,37722.984156,16359.160622200001,67362.41355160001,79146.21909219999,80387.560976,88194.9930251,118753.64021099999,38746.8357024,3.65462939476,1248.77552239,11845.9585015,8972.98492804,79345.8925823,53.6
